"Product Code","Product Name",Variant,Expected,Counted
p250,"Pepsi (250 ml)",,70.0000,
pbar,"Peanut bar",,136.0000,
pcb,"Potato crackers (bombay)",,162.0000,
pcc,"Pasta chips",,123.0000,
psb,"Potata spicy",,0.0000,
psm,"Potata spicy - (mini)",,228.0000,
ptc,"Tatul chatni",,0.0000,
pudding,Pudding,,0.0000,
pulse,"Pulse (mango+lemon+tetul)",,598.0000,
pup,"Pran up",,27.0000,
rinc,"Ring chips",,85.0000,
rm,"Ripe mango",,0.0000,
rt,"Red tea (Masala)",,67.0000,
s&c,"Shell & Core",,0.0000,
sc,"Soft cake",,20.0000,
smc,"Smile cake",,57.0000,
ss,"Swarly sunday",,0.0000,
sw,Sandwich,,0.0000,
t250,"Tango (250 ml)",,0.0000,
tb,"Tip biscut",,25.0000,
tc,"Treat chocolate",,94.0000,
v100,"Vanilla -100 ml (cup)",,5.0000,
v121,"Vanilla -121 ml",,0.0000,
v500,Vanila-500,,4.0000,
v7,"Vanilla -72 ml",,0.0000,
v72,"Vanilla- 72 ml",,5.0000,
w1000,"Water  (kinley-1000 ml)",,14.0000,
w500,"Water  (kinley-500 ml)",,21.0000,
wa,"water 500ml",,0.0000,
wdrkid,"Wonder kid",,0.0000,
zc,"Zeros Chips",,103.0000,
